Date,BTC-USD,ETH-USD,BNB-USD,SOL-USD
2023-09-24,26256.826171875,1580.8533935546875,208.28289794921875,19.374290466308597
2023-09-25,26298.48046875,1588.3228759765625,210.0738067626953,19.40414047241211
2023-09-26,26217.25,1593.417236328125,212.37844848632807,19.023286819458008
2023-09-27,26352.716796875,1597.4912109375,211.98541259765625,19.130022048950195
2023-09-28,27021.546875,1652.8826904296875,215.07598876953125,19.957616806030277
2023-09-29,26911.720703125,1667.94384765625,215.2794189453125,20.300655364990234
2023-09-30,26967.916015625,1671.161865234375,214.82130432128903,21.3951473236084
2023-10-01,27983.75,1733.8104248046875,218.0471343994141,23.83648681640625
2023-10-02,27530.78515625,1663.6275634765625,214.7579345703125,23.371700286865234
2023-10-03,27429.978515625,1656.6856689453125,213.4359436035156,23.55269432067871
2023-10-04,27799.39453125,1647.838134765625,213.4130859375,23.1447868347168
2023-10-05,27415.912109375,1611.4764404296875,210.6796722412109,22.694141387939453
2023-10-06,27946.59765625,1645.83154296875,213.55552673339844,23.42445373535156
2023-10-07,27968.83984375,1634.51123046875,212.36447143554688,23.287302017211918
2023-10-08,27935.08984375,1633.548583984375,211.51998901367188,23.24642562866211
2023-10-09,27583.677734375,1579.806640625,205.7509613037109,22.118396759033203
2023-10-10,27391.01953125,1567.7130126953125,208.57687377929688,22.10511589050293
2023-10-11,26873.3203125,1566.2547607421875,206.53341674804688,22.00741958618164
2023-10-12,26756.798828125,1539.6124267578125,205.2294158935547,21.300268173217773
2023-10-13,26862.375,1552.0894775390625,206.0361175537109,21.834917068481445
2023-10-14,26861.70703125,1555.2568359375,206.60189819335935,22.01171875
2023-10-15,27159.65234375,1558.06982421875,209.7425079345703,21.922027587890625
2023-10-16,28519.466796875,1600.5343017578125,214.82395935058597,23.98295783996582
2023-10-17,28415.748046875,1565.4395751953125,211.6432342529297,23.959318161010746
2023-10-18,28328.341796875,1563.7498779296875,210.50103759765625,23.432138442993164
2023-10-19,28719.806640625,1567.45703125,211.1441650390625,24.93791961669922
2023-10-20,29682.94921875,1604.6668701171875,212.30084228515625,27.033674240112305
2023-10-21,29918.412109375,1629.304443359375,214.3056640625,29.386228561401367
2023-10-22,29993.896484375,1663.429931640625,217.74737548828125,29.03668212890625
2023-10-23,33086.234375,1765.3826904296875,228.35276794433597,31.850984573364254
2023-10-24,33901.52734375,1784.4375,225.14295959472656,30.15153694152832
2023-10-25,34502.8203125,1787.3975830078125,222.179931640625,32.46306610107422
2023-10-26,34156.6484375,1804.039306640625,223.2360382080078,32.77549362182617
2023-10-27,33909.80078125,1780.0452880859375,224.4759063720703,31.73969841003418
2023-10-28,34089.57421875,1776.6181640625,225.77407836914065,31.653318405151367
2023-10-29,34538.48046875,1795.5460205078125,227.14845275878903,32.822608947753906
2023-10-30,34502.36328125,1810.088623046875,228.2874298095703,34.962337493896484
2023-10-31,34667.78125,1816.458984375,226.43994140625,38.51951599121094
2023-11-01,35437.25390625,1847.0897216796875,228.00010681152344,41.461544036865234
